    r     rho_a(r)         V(r)  F(rho_a(r))
3.348    0.0004792    0.0262352    -0.389631
3.342  0.000486795    0.0268044    -0.393625
3.336  0.000494503     0.027386    -0.397657
 3.33  0.000502327    0.0279801    -0.401726
3.324  0.000510269    0.0285871    -0.405835
3.318  0.000518329    0.0292073    -0.409982
3.312   0.00052651    0.0298409    -0.414168
3.306  0.000534814    0.0304882    -0.418394
  3.3  0.000543242    0.0311496    -0.422659
3.294  0.000551795    0.0318253    -0.426964
3.288  0.000560476    0.0325157     -0.43131
3.282  0.000569287     0.033221    -0.435697
3.276  0.000578229    0.0339416    -0.440124
 3.27  0.000587304    0.0346778    -0.444594
3.264  0.000596514      0.03543    -0.449106
3.258   0.00060586    0.0361985     -0.45366
3.252  0.000615345    0.0369836    -0.458258
3.246  0.000624971    0.0377857    -0.462899
 3.24   0.00063474    0.0386053    -0.467585
3.234  0.000644653    0.0394426    -0.472315
3.228  0.000654713     0.040298     -0.47709
3.222  0.000664921     0.041172    -0.481909
3.216   0.00067528    0.0420649    -0.486774
 3.21  0.000685792    0.0429772    -0.491684
3.204  0.000696458    0.0439092     -0.49664
3.198  0.000707282    0.0448614    -0.501641
3.192  0.000718265    0.0458343    -0.506689
3.186  0.000729409    0.0468282    -0.511783
 3.18  0.000740717    0.0478437    -0.516924
3.174   0.00075219    0.0488812    -0.522112
3.168  0.000763832    0.0499412    -0.527347
3.162  0.000775644    0.0510241     -0.53263
3.156   0.00078763    0.0521305    -0.537961
 3.15   0.00079979    0.0532609    -0.543341
3.144  0.000812128    0.0544158     -0.54877
3.138  0.000824646    0.0555957    -0.554248
3.132  0.000837346    0.0568011    -0.559777
3.126  0.000850231    0.0580327    -0.565356
 3.12  0.000863304     0.059291    -0.570986
3.114  0.000876567    0.0605765    -0.576668
3.108  0.000890023    0.0618899    -0.582402
3.102  0.000903674    0.0632317     -0.58819
3.096  0.000917523    0.0646026    -0.594031
 3.09  0.000931572    0.0660033    -0.599927
3.084  0.000945825    0.0674342    -0.605878
3.078  0.000960284    0.0688962    -0.611884
3.072  0.000974952    0.0703898    -0.617946
3.066  0.000989832    0.0719158    -0.624064
 3.06   0.00100493    0.0734749    -0.630237
3.054   0.00102024    0.0750677    -0.636467
3.048   0.00103577     0.076695    -0.642754
3.042   0.00105153    0.0783576    -0.649098
3.036   0.00106751    0.0800563    -0.655499
 3.03   0.00108372    0.0817917    -0.661957
3.024   0.00110017    0.0835647    -0.668474
3.018   0.00111685    0.0853761    -0.675049
3.012   0.00113377    0.0872268    -0.681683
3.006   0.00115093    0.0891176    -0.688376
    3   0.00116834    0.0910493    -0.695129
2.994   0.00118599    0.0930229    -0.701942
2.988    0.0012039    0.0950392    -0.708816
2.982   0.00122206    0.0970992    -0.715752
2.976   0.00124049    0.0992039    -0.722749
 2.97   0.00125917     0.101354    -0.729809
2.964   0.00127812     0.103551    -0.736932
2.958   0.00129734     0.105795    -0.744119
2.952   0.00131684     0.108088    -0.751371
2.946   0.00133661     0.110431    -0.758689
 2.94   0.00135666     0.112825    -0.766073
2.934   0.00137699      0.11527    -0.773524
2.928   0.00139762     0.117768    -0.781043
2.922   0.00141853     0.120321     -0.78863
2.916   0.00143974     0.122928    -0.796285
 2.91   0.00146125     0.125592    -0.804009
2.904   0.00148307     0.128314    -0.811802
2.898   0.00150519     0.131095    -0.819664
2.892   0.00152762     0.133936    -0.827595
2.886   0.00155037     0.136839    -0.835597
 2.88   0.00157344     0.139805    -0.843669
2.874   0.00159683     0.142834    -0.851812
2.868   0.00162056      0.14593    -0.860026
2.862   0.00164461     0.149092    -0.868312
2.856   0.00166901     0.152323     -0.87667
 2.85   0.00169374     0.155624    -0.885102
2.844   0.00171882     0.158997    -0.893607
2.838   0.00174425     0.162442    -0.902185
2.832   0.00177004     0.165963    -0.910839
2.826   0.00179619     0.169559    -0.919568
 2.82    0.0018227     0.173234    -0.928373
2.814   0.00184959     0.176988    -0.937255
2.808   0.00187684     0.180823    -0.946215
2.802   0.00190448     0.184741    -0.955253
2.796   0.00193251     0.188745    -0.964371
 2.79   0.00196092     0.192835     -0.97357
2.784   0.00198972     0.197013     -0.98285
2.778   0.00201893     0.201283    -0.992213
2.772   0.00204855     0.205644     -1.00166
2.766   0.00207857       0.2101     -1.01119
 2.76   0.00210901     0.214653      -1.0208
2.754   0.00213987     0.219305      -1.0305
2.748   0.00217116     0.224057     -1.04028
2.742   0.00220288     0.228912     -1.05015
2.736   0.00223504     0.233872      -1.0601
 2.73   0.00226764      0.23894     -1.07014
2.724    0.0023007     0.244118     -1.08026
2.718    0.0023342     0.249407     -1.09047
2.712   0.00236818     0.254812     -1.10077
2.706   0.00240261     0.260333     -1.11116
  2.7   0.00243753     0.265974     -1.12164
2.694   0.00247292     0.271738      -1.1322
2.688    0.0025088     0.277626     -1.14286
2.682   0.00254517     0.283642      -1.1536
2.676   0.00258204     0.289788     -1.16444
 2.67   0.00261942     0.296068     -1.17537
2.664   0.00265731     0.302483     -1.18639
2.658   0.00269572     0.309038     -1.19751
2.652   0.00273465     0.315734     -1.20872
2.646   0.00277412     0.322576     -1.22003
 2.64   0.00281412     0.329566     -1.23144
2.634   0.00285467     0.336707     -1.24294
2.628   0.00289578     0.344004     -1.25455
2.622   0.00293745     0.351458     -1.26625
